distance,task,workerId,isCorrect,chart,time,dataSize
0.17,MEAN,A1BHR5XQ16T7LA,0,WB,6.826,75
0.16,MEAN,A1BHR5XQ16T7LA,0,WB,5.509,75
0.17,MEAN,A1BHR5XQ16T7LA,0,WB,7.307,75
0.02,MEAN,A1BHR5XQ16T7LA,1,WB,6.615,75
0.06,MEAN,A1BHR5XQ16T7LA,1,WB,8.151,75
0.03,MEAN,A1BHR5XQ16T7LA,1,WB,6.52,75
0.05,MEAN,A1BHR5XQ16T7LA,1,WB,8.648,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,6.295,75
0.09,MEAN,A1BHR5XQ16T7LA,1,WB,6.865,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,14.855,75
0.05,MEAN,A1BHR5XQ16T7LA,1,WB,8.002,75
0.1,MEAN,A1BHR5XQ16T7LA,0,WB,6.642,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,8.046,75
0.03,MEAN,A1BHR5XQ16T7LA,1,WB,9.013,75
0.07,MEAN,A1BHR5XQ16T7LA,1,WB,8.331,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,7.642,75
0.11,MEAN,A1BHR5XQ16T7LA,0,WB,6.343,75
0.12,MEAN,A1BHR5XQ16T7LA,0,WB,5.001,75
0.05,MEAN,A160X70DIV96VM,1,KB,4.008,75
0.07,MEAN,A160X70DIV96VM,1,KB,4.977,75
0.05,MEAN,A160X70DIV96VM,1,KB,4.659,75
0.51,MEAN,A160X70DIV96VM,0,KB,2.628,75
0.3,MEAN,A160X70DIV96VM,0,KB,5.585,75
0.29,MEAN,A160X70DIV96VM,0,KB,2.998,75
0.01,MEAN,A160X70DIV96VM,1,KB,4.815,75
0.26,MEAN,A160X70DIV96VM,0,KB,5.848,75
0.22,MEAN,A160X70DIV96VM,0,KB,6.183,75
0.35,MEAN,A160X70DIV96VM,0,KB,10.244,75
0.24,MEAN,A160X70DIV96VM,0,KB,4.345,75
0.31,MEAN,A160X70DIV96VM,0,KB,2.822,75
0.22,MEAN,A160X70DIV96VM,0,KB,6.298,75
0.16,MEAN,A160X70DIV96VM,0,KB,2.191,75
0.28,MEAN,A160X70DIV96VM,0,KB,4.495,75
0.34,MEAN,A160X70DIV96VM,0,KB,3.73,75
0.14,MEAN,A160X70DIV96VM,0,KB,2.652,75
0.19,MEAN,A160X70DIV96VM,0,KB,4.261,75
0.31,MEAN,A160X70DIV96VM,0,KB,7.015,75
0.04,MEAN,A160X70DIV96VM,1,KB,3.481,75
0.24,MEAN,A160X70DIV96VM,0,KB,2.811,75
0.03,MEAN,A160X70DIV96VM,1,KB,2.713,75
0.09,MEAN,A160X70DIV96VM,1,KB,2.408,75
0.11,MEAN,A160X70DIV96VM,0,KB,2.59,75
0.1,MEAN,A160X70DIV96VM,0,KB,3.274,75
0.38,MEAN,A160X70DIV96VM,0,KB,3.137,75
0.02,MEAN,A160X70DIV96VM,1,KB,6.539,75
0.03,MEAN,A160X70DIV96VM,1,KB,3.463,75
0.06,MEAN,A160X70DIV96VM,1,KB,5.201,75
0.12,MEAN,A160X70DIV96VM,0,KB,6.168,75
0.23,MEAN,A1VVXZYA3TPHP0,0,KB,7.119,75
0.09,MEAN,A1VVXZYA3TPHP0,1,KB,5.239,75
0.25,MEAN,A1VVXZYA3TPHP0,0,KB,5.926,75
0.22,MEAN,A1VVXZYA3TPHP0,0,KB,3.095,75
0.07,MEAN,A1VVXZYA3TPHP0,1,KB,2.858,75
0.23,MEAN,A1VVXZYA3TPHP0,0,KB,3.014,75
0.15,MEAN,A1VVXZYA3TPHP0,0,KB,2.551,75
0.16,MEAN,A1VVXZYA3TPHP0,0,KB,3.406,75
0.08,MEAN,A1VVXZYA3TPHP0,1,KB,2.874,75
0.14,MEAN,A1VVXZYA3TPHP0,0,KB,4.541,75
0.38,MEAN,A1VVXZYA3TPHP0,0,KB,2.673,75
0.5,MEAN,A1VVXZYA3TPHP0,0,KB,3.418,75
0.09,MEAN,A1VVXZYA3TPHP0,1,KB,1.982,75
0.01,MEAN,A1VVXZYA3TPHP0,1,KB,2.207,75
