workerId,chart,data_size,true_percentage,error,responseTime
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,53,3,13413
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,53,3,6523
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,83,3,7185
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,38,3,5593
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,23,7,8720
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,47,8,5422
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,62,13,4522
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,38,2,4742
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,92,3,5660
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,8,2,7162
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,17,3,5537
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,47,3,4761
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,17,2,7479
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,77,3,8268
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,23,3,3734
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,92,2,6591
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,53,2,6466
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,47,2,3899
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,62,8,4690
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,83,2,7400
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,38,2,7257
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,62,13,4622
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,8,7,4037
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,77,2,5194
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,17,2,5370
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,77,2,5538
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,53,3,6471
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,8,12,4580
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,23,8,3853
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,77,2,3522
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,53,8,2936
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,83,13,5972
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,83,2,3051
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,47,8,3962
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,8,2,2691
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,17,3,6064
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,92,17,3138
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,62,13,3356
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,38,13,3986
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,23,2,4095
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,92,12,3689
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,8,2,3586
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,62,8,2897
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,47,8,3032
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,53,8,4251
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,38,8,4317
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,17,18,3162
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,62,27,2995
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,92,2,3714
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,17,3,2634
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,47,17,2664
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,300,83,8,3864
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,23,2,2872
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,75,38,37,3125
1d020ce2c8a1c9c8e0051ac55d21b41b3efdfda4,WB,150,77,2,3779
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,53,8,7681
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,23,3,6976
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,8,3,6460
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,92,2,5055
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,17,3,4757
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,92,3,8067
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,23,3,6076
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,53,22,7467
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,38,2,6071
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,47,13,7612
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,83,7,6132
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,17,2,4878
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,53,2,5929
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,62,3,5602
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,47,2,5189
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,77,8,5983
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,92,3,4630
